survey_id,survey_submitted_at,trip_start_date,trip_finish_date,hotel_name,hotel_code,hotel_trip_other_name,hotel_any_other,hotel_ritz_carlton,hotel_super_eight,hotel_embassy_suites,hotel_days_inn,hotel_hampton_inn,hotel_quality_inn,hotel_marriott,hotel_holiday_inn,hotel_omni,hotel_hilton,hotel_millenium,hotel_radisson,hotel_hyatt,hotel_fairfield_inn,hotel_ramada_inn,hotel_drury_inn,hotel_four_seasons,hotel_best_western,hotel_past_other_name,hotel_selection_cost,hotel_selection_bar,hotel_selection_distance_to_parks,hotel_selection_in_room_dining,hotel_selection_food_court,hotel_selection_sit_down_dining,hotel_selection_fine_dining,hotel_selection_parks_shuttle,hotel_selection_airport_shuttle,hotel_selection_in_room_kitchen,hotel_selection_room_size,hotel_selection_multiple_bedroom_suites,hotel_selection_spa_fitness_center,hotel_selection_pool,hotel_selection_theme,hotel_selection_kids_activities,hotel_selection_location_on_property,hotel_selection_other_string,hotel_selection_other_rating,hotel_satisfied_room_cleanliness,hotel_satisfied_room_size,hotel_satisfied_room_quietness,hotel_satisfied_beds_pillows,hotel_satisfied_pool_size,hotel_satisfied_pool_crowds,hotel_satisfied_pool_cleanliness,hotel_satisfied_parks_shuttle,hotel_satisfied_airport_shuttle,hotel_satisfied_check_in_out_process,hotel_satisfied_staff,hotel_satisfied_recreation_amenities,hotel_satisfied_food_court_overall,hotel_satisfied_food_court_value,hotel_satisfied_find_your_way_around,hotel_satisfied_child_services,hotel_satisfied_sit_down_dining,hotel_satisfied_other_string,hotel_satisfied_other_rating,hotel_satisfaction_code,hotel_stay_again,hotel_recommendation_code,hotel_room_number,hotel_room_connecting,hotel_room_connecting_room_number,hotel_room_bed_code,user_id,party_members,hometown,how_many_trips,ip_address
26042,2017-10-09T23:54:57Z,2017-08-12,2017-08-25,Disney's All-Star Sports Resort,ORL001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,2,,,,,3,,,,,,,4,,,,,4,3,4,3,3,2,3,4,,3,4,,,,5,,,,,somewhat_satisfied,1,will_definitely_recommend,,1,,two_double,450693,M9|M41,canada,3,
26043,2017-10-10T00:00:41Z,2017-09-30,2017-10-06,Disney's All-Star Sports Resort,ORL001,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,5,,3,,2,,,4,,,,,,1,,,,,,4,3,4,4,5,5,5,4,,5,5,4,4,2,4,,,,,very_satisfied,1,will_definitely_recommend,2248,1,2249,two_double,580355,F8|F38|M2|M10,"Meridianville, AL",1,
26044,2017-10-10T00:02:00Z,2017-06-26,2017-06-26,Disney's Animal Kingdom Lodge - Jambo House,ORL002,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,5,1,5,4,5,5,5,,,,,,,,,,,,5,4,3,4,4,4,5,5,,5,,,4,,,,,,,very_satisfied,1,will_definitely_recommend,,1,,queen_plbunk,271593,M43,Pueblo,9,
26045,2017-10-10T00:20:51Z,2017-09-30,2017-10-06,Disney's Caribbean Beach Resort,ORL007,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,2,1,4,2,4,2,2,5,4,1,2,3,,3,2,4,3,,,4,4,5,5,5,5,5,3,3,3,2,3,3,3,2,,,0,1,very_satisfied,1,may_recommend,4440,1,4439,two_queen,576811,"","Columbia City, IN",1,
26047,2017-10-10T01:02:54Z,2017-09-24,2017-10-01,Disney's Caribbean Beach Resort,ORL007,,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,3,,,,,,,4,,,2,,,1,,,5,,,5,4,5,4,1,2,3,2,1,4,5,1,1,1,1,,1,,,very_disatisfied,0,definitely_will_not_recommend,,0,,two_queen,578428,"",Versailles,4,
26050,2017-10-10T02:44:14Z,2017-09-30,2017-10-06,Disney's Pop Century Resort,ORL013,,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,,4,1,2,1,1,1,1,5,1,1,2,5,,5,5,1,5,,,5,5,4,5,5,4,5,5,,5,5,,4,3,5,,,0,5,very_satisfied,1,will_definitely_recommend,7413,0,,two_queen,454437,F7|F11|M37,"Springboro, Ohio",2,
26051,2017-10-10T05:29:46Z,2017-09-20,2017-09-27,Disney's Port Orleans Resort - French Quarter,ORL014,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Choice Hotels,5,1,5,3,5,3,3,5,5,1,4,1,,5,3,1,5,Wheelchair accessibility ,5,5,4,4,5,5,3,5,5,5,5,5,5,5,5,5,,5,,,very_satisfied,1,will_definitely_recommend,6101,1,6102,two_queen,484764,F26|F28|F46|F54|F85,"Terre Haute, IN",2,
26052,2017-10-10T12:22:55Z,2017-09-30,2017-10-07,Disney's BoardWalk Villas,ORL006,,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,Double Tree,,2,5,1,2,5,5,5,2,4,4,2,,3,4,1,4,,,5,4,5,5,4,4,5,5,,5,5,5,,,5,,5,,,very_satisfied,1,will_definitely_recommend,,,4119,king_daybed,449360,F56|M58,"Waterloo, IA",12,
26056,2017-10-10T13:07:06Z,2017-09-28,2017-10-01,Disney's Coronado Springs Resort,ORL009,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disney's Port Orleans French Quarter,5,3,3,1,3,4,3,5,5,1,1,1,,3,4,1,3,Refurbished Room,5,5,5,4,5,5,3,4,4,4,5,5,5,5,5,3,3,3,,,very_satisfied,1,will_definitely_recommend,7164,1,7165,two_queen,248083,F11|F15|F70|M75,"Pennington Gap, VA",20,
26057,2017-10-10T13:14:05Z,2017-09-23,2017-10-07,Disney's All-Star Sports Resort,ORL001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,1,5,1,1,1,1,5,2,1,1,,,1,1,,5,,,5,4,5,5,5,5,5,4,5,4,5,,4,4,5,,,,,very_satisfied,1,will_definitely_recommend,2204,1,2205,two_double,7954,"",,5,
