length_of_stay,hotel_name,how_many_trips,normalized_hotel_selection_cost,normalized_hotel_selection_bar,normalized_hotel_selection_distance_to_parks,normalized_hotel_selection_in_room_dining,normalized_hotel_selection_food_court,normalized_hotel_selection_sit_down_dining,normalized_hotel_selection_fine_dining,normalized_hotel_selection_parks_shuttle,normalized_hotel_selection_airport_shuttle,normalized_hotel_selection_in_room_kitchen,normalized_hotel_selection_room_size,normalized_hotel_selection_multiple_bedroom_suites,normalized_hotel_selection_pool,normalized_hotel_selection_theme,normalized_hotel_selection_kids_activities,normalized_hotel_selection_location_on_property
7, The Cabins at Disneys Fort Wilderness Resort,6,-1.008318265,-0.564769749,1.142329726,-0.378088489,0.188584832,0.567065547,-0.681434599,-0.12828479,-2.282545337,0.90355515,0.809393939,-1.144778044,-0.349814952,-0.368429072,0.329160962,-0.781453209
7, The Cabins at Disneys Fort Wilderness Resort,10,-0.008318265,-0.564769749,-0.857670274,-0.378088489,1.188584832,-0.432934453,-0.681434599,0.87171521,1.717454663,0.90355515,0.809393939,1.855221956,0.650185048,0.631570928,-0.670839038,-2.781453209
7, Swan at Walt Disney World,8,0.991681735,-0.564769749,1.142329726,-0.378088489,-1.811415168,-1.432934453,-0.681434599,0.87171521,-2.282545337,-1.09644485,0.809393939,-1.144778044,-0.349814952,-2.368429072,-0.670839038,1.218546791
1, Swan at Walt Disney World,10,0.991681735,-0.564769749,1.142329726,-0.378088489,-0.811415168,-1.432934453,-0.681434599,0.87171521,-1.282545337,-1.09644485,-0.190606061,-1.144778044,0.650185048,-0.368429072,-0.670839038,1.218546791
1, Swan at Walt Disney World,12,-0.008318265,-0.564769749,0.142329726,-0.378088489,-1.811415168,0.567065547,0.318565401,0.87171521,-2.282545337,-0.09644485,0.809393939,-1.144778044,0.650185048,-1.368429072,0.329160962,1.218546791
13, Swan at Walt Disney World,14,-1.008318265,-0.564769749,1.142329726,0.621911511,0.188584832,0.567065547,1.318565401,0.87171521,1.717454663,-1.09644485,-0.190606061,-1.144778044,-2.349814952,0.631570928,-0.670839038,1.218546791
6, Swan at Walt Disney World,6,0.991681735,-0.564769749,1.142329726,-0.378088489,-0.811415168,1.567065547,0.318565401,0.87171521,1.717454663,0.90355515,0.809393939,0.855221956,-0.349814952,-0.368429072,0.329160962,0.218546791
7, Swan at Walt Disney World,8,0.991681735,-0.564769749,1.142329726,-0.378088489,2.188584832,2.567065547,-0.681434599,0.87171521,1.717454663,2.90355515,1.809393939,2.855221956,1.650185048,1.631570928,-0.670839038,1.218546791
6, Swan at Walt Disney World,35,0.991681735,-0.564769749,1.142329726,-0.378088489,0.188584832,0.567065547,0.318565401,0.87171521,-2.282545337,-0.09644485,-0.190606061,-1.144778044,0.650185048,0.631570928,0.329160962,0.218546791
1, Dolphin at Walt Disney World,7,0.991681735,0.435230251,1.142329726,0.621911511,1.188584832,0.567065547,1.318565401,0.87171521,-1.282545337,-1.09644485,0.809393939,-1.144778044,0.650185048,-2.368429072,0.329160962,1.218546791
